Date time,Home (kW),Solar (kW),Powerwall (kW),Grid (kW),Energy Remaining (%)
2023-03-22T00:00:00-07:00,0.5,0,0.5,0,65
2023-03-22T00:05:00-07:00,0.5,0,0.5,0,
2023-03-22T00:10:00-07:00,0.4,0,0.4,0,
2023-03-22T00:15:00-07:00,0.4,0,0.4,0,64
2023-03-22T00:20:00-07:00,0.5,0,0.5,0,
2023-03-22T00:25:00-07:00,0.4,0,0.4,0,
2023-03-22T00:30:00-07:00,0.5,0,0.5,0,64
2023-03-22T00:35:00-07:00,0.4,0,0.4,0,
2023-03-22T00:40:00-07:00,0.4,0,0.4,0,
2023-03-22T00:45:00-07:00,0.4,0,0.4,0,63
2023-03-22T00:50:00-07:00,0.5,0,0.5,0,
2023-03-22T00:55:00-07:00,0.5,0,0.5,0,
2023-03-22T01:00:00-07:00,0.5,0,0.5,0,63
2023-03-22T01:05:00-07:00,0.4,0,0.4,0,
2023-03-22T01:10:00-07:00,0.5,0,0.5,0,
2023-03-22T01:15:00-07:00,0.5,0,0.5,0,62
2023-03-22T01:20:00-07:00,0.4,0,0.4,0,
2023-03-22T01:25:00-07:00,0.5,0,0.5,0,
2023-03-22T01:30:00-07:00,0.4,0,0.4,0,62
2023-03-22T01:35:00-07:00,0.5,0,0.5,0,
2023-03-22T01:40:00-07:00,0.4,0,0.4,0,
2023-03-22T01:45:00-07:00,0.3,0,0.3,0,61
2023-03-22T01:50:00-07:00,0.3,0,0.3,0,
2023-03-22T01:55:00-07:00,0.4,0,0.4,0,
2023-03-22T02:00:00-07:00,0.4,0,0.4,0,61
2023-03-22T02:05:00-07:00,0.4,0,0.4,0,
2023-03-22T02:10:00-07:00,0.5,0,0.5,0,
2023-03-22T02:15:00-07:00,0.5,0,0.5,0,60
2023-03-22T02:20:00-07:00,0.5,0,0.5,0,
2023-03-22T02:25:00-07:00,0.4,0,0.4,0,
2023-03-22T02:30:00-07:00,0.4,0,0.4,0,60
2023-03-22T02:35:00-07:00,0.4,0,0.4,0,
2023-03-22T02:40:00-07:00,0.5,0,0.5,0,
2023-03-22T02:45:00-07:00,0.5,0,0.5,0,59
2023-03-22T02:50:00-07:00,0.4,0,0.4,0,
2023-03-22T02:55:00-07:00,0.5,0,0.5,0,
2023-03-22T03:00:00-07:00,0.4,0,0.4,0,59
2023-03-22T03:05:00-07:00,0.4,0,0.4,0,
2023-03-22T03:10:00-07:00,0.4,0,0.4,0,
2023-03-22T03:15:00-07:00,0.4,0,0.4,0,58
2023-03-22T03:20:00-07:00,0.6,0,0.6,0,
2023-03-22T03:25:00-07:00,0.4,0,0.4,0,
2023-03-22T03:30:00-07:00,0.5,0,0.5,0,58
2023-03-22T03:35:00-07:00,0.7,0,0.7,0,
2023-03-22T03:40:00-07:00,0.4,0,0.4,0,
2023-03-22T03:45:00-07:00,0.4,0,0.4,0,57
2023-03-22T03:50:00-07:00,0.4,0,0.4,0,
2023-03-22T03:55:00-07:00,0.4,0,0.4,0,
2023-03-22T04:00:00-07:00,0.5,0,0.5,0,57
2023-03-22T04:05:00-07:00,0.4,0,0.4,0,
2023-03-22T04:10:00-07:00,0.4,0,0.4,0,
2023-03-22T04:15:00-07:00,0.5,0,0.5,0,56
2023-03-22T04:20:00-07:00,0.3,0,0.3,0,
2023-03-22T04:25:00-07:00,0.4,0,0.4,0,
2023-03-22T04:30:00-07:00,0.5,0,0.5,0,56
2023-03-22T04:35:00-07:00,0.4,0,0.4,0,
2023-03-22T04:40:00-07:00,0.5,0,0.5,0,
2023-03-22T04:45:00-07:00,0.5,0,0.5,0,55
2023-03-22T04:50:00-07:00,0.5,0,0.5,0,
2023-03-22T04:55:00-07:00,0.5,0,0.5,0,
2023-03-22T05:00:00-07:00,0.4,0,0.4,0,55
2023-03-22T05:05:00-07:00,0.4,0,0.4,0,
2023-03-22T05:10:00-07:00,0.4,0,0.4,0,
2023-03-22T05:15:00-07:00,0.4,0,0.4,0,54
2023-03-22T05:20:00-07:00,0.5,0,0.5,0,
2023-03-22T05:25:00-07:00,0.5,0,0.5,0,
2023-03-22T05:30:00-07:00,0.4,0,0.4,0,54
2023-03-22T05:35:00-07:00,0.5,0,0.5,0,
2023-03-22T05:40:00-07:00,0.4,0,0.4,0,
2023-03-22T05:45:00-07:00,0.3,0,0.3,0,53
2023-03-22T05:50:00-07:00,0.4,0,0.4,0,
2023-03-22T05:55:00-07:00,0.4,0,0.4,0,
2023-03-22T06:00:00-07:00,0.5,0,0.5,0,53
2023-03-22T06:05:00-07:00,0.4,0,0.4,0,
2023-03-22T06:10:00-07:00,0.5,0,0.5,0,
2023-03-22T06:15:00-07:00,0.4,0,0.4,0,52
2023-03-22T06:20:00-07:00,0.4,0,0.4,0,
2023-03-22T06:25:00-07:00,0.6,0,0.6,0,
2023-03-22T06:30:00-07:00,1.0,0,1.0,0,52
2023-03-22T06:35:00-07:00,0.5,0,0.5,0,
2023-03-22T06:40:00-07:00,0.4,0,0.4,0,
2023-03-22T06:45:00-07:00,0.5,0,0.5,0,51
2023-03-22T06:50:00-07:00,0.5,0,0.5,0,
2023-03-22T06:55:00-07:00,0.4,0,0.4,0,
2023-03-22T07:00:00-07:00,0.5,0,0.5,0,50
2023-03-22T07:05:00-07:00,0.5,0,0.5,0,
2023-03-22T07:10:00-07:00,0.5,0,0.5,0,
2023-03-22T07:15:00-07:00,0.6,0,0.6,0,50
2023-03-22T07:20:00-07:00,0.5,0,0.5,0,
2023-03-22T07:25:00-07:00,0.5,0.1,0.4,0,
2023-03-22T07:30:00-07:00,0.5,0.2,0.3,0,50
2023-03-22T07:35:00-07:00,0.3,0.2,0.1,0,
2023-03-22T07:40:00-07:00,0.3,0.3,0,0,
2023-03-22T07:45:00-07:00,0.5,0.5,0,0,49
2023-03-22T07:50:00-07:00,0.5,0.7,-0.2,0,
2023-03-22T07:55:00-07:00,0.5,0.8,-0.3,0,
2023-03-22T08:00:00-07:00,0.6,1.0,-0.4,0,50
2023-03-22T08:05:00-07:00,0.6,1.1,-0.5,0,
2023-03-22T08:10:00-07:00,0.5,1.3,-0.7,0,
2023-03-22T08:15:00-07:00,0.5,1.5,-0.9,0,51
2023-03-22T08:20:00-07:00,0.5,1.6,-1.2,0,
2023-03-22T08:25:00-07:00,0.5,1.8,-1.3,0,
2023-03-22T08:30:00-07:00,0.6,2.0,-1.4,0,52
2023-03-22T08:35:00-07:00,0.6,2.2,-1.6,0,
2023-03-22T08:40:00-07:00,0.7,2.5,-1.8,0,
