Date time,Home (kW),Solar (kW),Powerwall (kW),Grid (kW),Energy Remaining (%)
2023-04-14T00:00:00-07:00,0.6,0,0.6,0,63
2023-04-14T00:05:00-07:00,0.4,0,0.4,0,
2023-04-14T00:10:00-07:00,0.3,0,0.3,0,
2023-04-14T00:15:00-07:00,0.5,0,0.3,0.2,63
2023-04-14T00:20:00-07:00,0.3,0,0.3,0,
2023-04-14T00:25:00-07:00,0.4,0,0.4,0,
2023-04-14T00:30:00-07:00,0.5,0,0.5,0,62
2023-04-14T00:35:00-07:00,0.6,0,0.6,0,
2023-04-14T00:40:00-07:00,0.4,0,0.4,0,
2023-04-14T00:45:00-07:00,0.4,0,0.4,0,62
2023-04-14T00:50:00-07:00,0.3,0,0.3,0,
2023-04-14T00:55:00-07:00,0.3,0,0.3,0,
2023-04-14T01:00:00-07:00,0.4,0,0.4,0,61
2023-04-14T01:05:00-07:00,0.3,0,0.3,0,
2023-04-14T01:10:00-07:00,0.4,0,0.4,0,
2023-04-14T01:15:00-07:00,0.4,0,0.4,0,61
2023-04-14T01:20:00-07:00,0.4,0,0.4,0,
2023-04-14T01:25:00-07:00,0.4,0,0.4,0,
2023-04-14T01:30:00-07:00,0.4,0,0.4,0,61
2023-04-14T01:35:00-07:00,0.3,0,0.3,0,
2023-04-14T01:40:00-07:00,0.4,0,0.4,0,
2023-04-14T01:45:00-07:00,0.4,0,0.4,0,60
2023-04-14T01:50:00-07:00,0.3,0,0.3,0,
2023-04-14T01:55:00-07:00,0.5,0,0.5,0,
2023-04-14T02:00:00-07:00,0.6,0,0.6,0,59
2023-04-14T02:05:00-07:00,0.5,0,0.5,0,
2023-04-14T02:10:00-07:00,0.6,0,0.6,0,
2023-04-14T02:15:00-07:00,0.5,0,0.5,0,59
2023-04-14T02:20:00-07:00,0.3,0,0.3,0,
2023-04-14T02:25:00-07:00,0.3,0,0.3,0,
2023-04-14T02:30:00-07:00,0.4,0,0.4,0,59
2023-04-14T02:35:00-07:00,0.5,0,0.5,0,
2023-04-14T02:40:00-07:00,0.7,0,0.5,0.2,
2023-04-14T02:45:00-07:00,0.5,0,0.5,0,58
2023-04-14T02:50:00-07:00,0.5,0,0.5,0,
2023-04-14T02:55:00-07:00,0.4,0,0.4,0,
2023-04-14T03:00:00-07:00,0.3,0,0.3,0,58
2023-04-14T03:05:00-07:00,0.3,0,0.3,0,
2023-04-14T03:10:00-07:00,0.3,0,0.3,0,
2023-04-14T03:15:00-07:00,0.4,0,0.4,0,57
2023-04-14T03:20:00-07:00,0.5,0,0.5,0,
2023-04-14T03:25:00-07:00,0.6,0,0.6,0,
2023-04-14T03:30:00-07:00,0.5,0,0.5,0,57
2023-04-14T03:35:00-07:00,0.3,0,0.3,0,
2023-04-14T03:40:00-07:00,0.3,0,0.3,0,
2023-04-14T03:45:00-07:00,0.3,0,0.3,0,56
2023-04-14T03:50:00-07:00,0.3,0,0.3,0,
2023-04-14T03:55:00-07:00,0.4,0,0.4,0,
2023-04-14T04:00:00-07:00,0.5,0,0.5,0,56
2023-04-14T04:05:00-07:00,0.4,0,0.4,0,
2023-04-14T04:10:00-07:00,0.5,0,0.5,0,
2023-04-14T04:15:00-07:00,0.4,0,0.4,0,55
2023-04-14T04:20:00-07:00,0.3,0,0.3,0,
2023-04-14T04:25:00-07:00,0.3,0,0.3,0,
2023-04-14T04:30:00-07:00,0.3,0,0.3,0,55
2023-04-14T04:35:00-07:00,1.7,0,1.7,0,
2023-04-14T04:40:00-07:00,2.3,0,2.3,0,
2023-04-14T04:45:00-07:00,2.5,0,2.5,0,52
2023-04-14T04:50:00-07:00,2.5,0,2.5,0,
2023-04-14T04:55:00-07:00,2.6,0,2.6,0,
