Date time,Home (kW),Solar (kW),Powerwall (kW),Grid (kW),Energy Remaining (%)
2023-02-24T00:00:00-08:00,0.4,0,0.4,0,62
2023-02-24T00:05:00-08:00,0.4,0,0.4,0,
2023-02-24T00:10:00-08:00,0.3,0,0.3,0,
2023-02-24T00:15:00-08:00,0.3,0,0.3,0,61
2023-02-24T00:20:00-08:00,0.3,0,0.3,0,
2023-02-24T00:25:00-08:00,0.4,0,0.4,0,
2023-02-24T00:30:00-08:00,0.3,0,0.3,0,61
2023-02-24T00:35:00-08:00,0.4,0,0.4,0,
2023-02-24T00:40:00-08:00,0.4,0,0.4,0,
2023-02-24T00:45:00-08:00,0.4,0,0.4,0,61
2023-02-24T00:50:00-08:00,0.3,0,0.3,0,
2023-02-24T00:55:00-08:00,0.4,0,0.4,0,
2023-02-24T01:00:00-08:00,0.4,0,0.4,0,60
2023-02-24T01:05:00-08:00,0.4,0,0.4,0,
2023-02-24T01:10:00-08:00,0.4,0,0.4,0,
2023-02-24T01:15:00-08:00,0.5,0,0.5,0,60
2023-02-24T01:20:00-08:00,0.4,0,0.4,0,
2023-02-24T01:25:00-08:00,0.3,0,0.3,0,
2023-02-24T01:30:00-08:00,0.3,0,0.3,0,59
2023-02-24T01:35:00-08:00,0.4,0,0.4,0,
2023-02-24T01:40:00-08:00,0.3,0,0.3,0,
2023-02-24T01:45:00-08:00,0.4,0,0.4,0,59
2023-02-24T01:50:00-08:00,0.4,0,0.4,0,
2023-02-24T01:55:00-08:00,0.5,0,0.5,0,
2023-02-24T02:00:00-08:00,0.4,0,0.4,0,58
2023-02-24T02:05:00-08:00,0.4,0,0.4,0,
2023-02-24T02:10:00-08:00,0.4,0,0.4,0,
2023-02-24T02:15:00-08:00,1.9,0,1.9,0,57
2023-02-24T02:20:00-08:00,2.5,0,2.5,0,
2023-02-24T02:25:00-08:00,2.5,0,2.5,0,
2023-02-24T02:30:00-08:00,0.2,0,0.2,0,56
2023-02-24T02:35:00-08:00,0.2,0,0.2,0,
2023-02-24T02:40:00-08:00,0.3,0,0.3,0,
2023-02-24T02:45:00-08:00,1.6,0,1.6,0,54
2023-02-24T02:50:00-08:00,2.5,0,2.5,0,
2023-02-24T02:55:00-08:00,2.6,0,2.6,0,
2023-02-24T03:00:00-08:00,2.8,0,2.8,0,51
2023-02-24T03:05:00-08:00,2.0,0,2.0,0,
2023-02-24T03:10:00-08:00,0.4,0,0.4,0,
2023-02-24T03:15:00-08:00,0.5,0,0.5,0,51
2023-02-24T03:20:00-08:00,0.6,0,0.6,0,
2023-02-24T03:25:00-08:00,2.2,0,2.2,0,
2023-02-24T03:30:00-08:00,2.6,0,2.6,0,49
2023-02-24T03:35:00-08:00,2.6,0,2.6,0,
2023-02-24T03:40:00-08:00,1.8,0,1.8,0,
2023-02-24T03:45:00-08:00,0.3,0,0.3,0,48
2023-02-24T03:50:00-08:00,0.3,0,0.3,0,
2023-02-24T03:55:00-08:00,0.3,0,0.3,0,
2023-02-24T04:00:00-08:00,0.3,0,0.3,0,47
2023-02-24T04:05:00-08:00,0.4,0,0.4,0,
2023-02-24T04:10:00-08:00,0.3,0,0.3,0,
2023-02-24T04:15:00-08:00,0.3,0,0.3,0,47
2023-02-24T04:20:00-08:00,0.3,0,0.3,0,
